talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	LÇn tíi ®¶ qu¸i thêi gian chó ı, kh«ng ®Ó cho ta m¹o hiÓm. 	Buæi tèi ®¸o bê s«ng sÏ nghe ®­îc Õch ®ang gäi. 	Nghe ®­îc qu¹ ®en kªu sao, thùc sù lµ ®iÒm xÊu a. 	Kª mãng cã c¸i g× tèt ¨n ni, thùc sù lµ kh«ng râ, ta thµ r»ng cËt ®ïi gµ. 	Bông cña ta ng¹, muèn ¨n mét ®iÓm hoa qu¶ lai bæ sung thÓ lùc. 	Ngµy h«m tr­íc thÊy mét rÊt xÊu nam nh©n, khiÕn cho ta ®Õn b©y giê còng ¨n kh«ng ngon.
12	NÕu nh­ ng­¬i nghÜ ta chØ thŞ thuª lµm tíi, nh­ vËy ta còng kh«ng cã c¸i g× cÇn ph¶i coi ng­¬i lµ b»ng h÷u. 	Con m¾t cña ta vµo h¹t c¸t, bÊt qu¸ kh«ng cÇn ph¶i ng­¬i tíi xuy. 	GÇn ®©y mÊy ngµy nay lu«n lu«n ®au ®Çu, ®¾c uèng chót canh lai båi bæ. 	Kh«ng biÕt n¨m nay mïa ®«ng cã thÓ hay kh«ng h¹ ®¹i tuyÕt? 	Ca ca ph¶i cè g¾ng luyÖn c«ng a, yÕu sÏ kh«ng bŞ ng­êi kh¸c v­ît qua. 	Kú thùc kh«ng nhÊt ®Şnh vãc d¸ng ®¹i, cã cËy m¹nh, ë trong chiÕn ®Êu tùu chiÕm th­îng phong.
13	T©m t×nh cña ta bÊt h¶o, mêi ®i xa ta. 	Ngµy h«m nay kh«ng biÕt cã ph¶i hay kh«ng lµ ngµy hoµng ®¹o. 	Ta ®· rÊt tiÕt kiÖm, ta ph¸t hiÖn ca ca so víi ta hoµn tiÕt kiÖm. 	Ngµy nµo ®ã chóng ta m·i ta thŞt ®Õn chİnh m×nh kh«ng cÇm quyÒn ngo¹i n­íng ba? 	§ªm qua ®ang ngñ say, l¹i lµm cho mÊy con Ma T­íc ®¸nh thøc. 	Hoµng kim trang bŞ hay ca ca m¬ ­íc theo ®uæi sao?
14	Ta t©m t×nh kh«ng tèt th×, kh«ng muèn nãi chuyÖn. 	Kh«ng cÇn ®i ®¾c nhanh nh­ vËy, chê ta mét chót a. 	Chóng ta ©m nh¹c thŞ ngò ©m ®iÖu thøc, kh«ng biÕt ngo¹i quèc lµ d¹ng g×. 	Cha ta ®Æc biÖt thİch ®å sø, nh×n thÊy h¶o ®å sø ta tùu v× h¾n mua l¹i. 	Tuy r»ng chóng ta hµnh tÈu giang hå tr¸nh kh«ng ®­îc vµ ng­êi kh¸c tû thİ, nh­ng còng kh«ng cÇn ph¶i ... H­íng ®èi ph­¬ng khiªu khİch. 	Cã chót vÎ mÆt ®¸i ng­êi c­êi kú thùc t©m mang ı xÊu, ph¶i cÈn thËn.
15	Ta van ng­¬i, kh«ng nªn ë n÷ hµi tr­íc mÆt nãi th« lç nãi. 	Ph¶i hiÓu ®­îc th­¬ng h­¬ng tiÕc ngäc, biÕt kh«ng? 	Ta thİch T©y Vùc ©m nh¹c, rÊt duyªn d¸ng. 	ThËt lµ, ta thÕ nµo b¶ mÑ ta cho ta vßng tai vøt bá ni! 	Kh«ng biÕt ta ®i niªn lo¹i c©y ®µo në hoa råi kh«ng cã? 	ThËt kh«ng râ v× sao ®µn «ng c¸c ng­¬i thİch dïng vâ lùc gi¶i quyÕt vÊn ®Ò!
16	Cù tuyÖt b¹o lùc, gi÷ g×n hßa b×nh. 	Kh«ng biÕt vµ ca ca cïng mét chç cã hay kh«ng quang minh tiÒn ®å? 	Ta hiÖn t¹i bØ nguyªn lai canh nç lùc luyÖn c«ng. 	Ng­¬i xem ta ®©y song giÇy thªu ®Ñp kh«ng? 	Ta l¹i muèn m·i quÇn ¸o míi. 	NÕu nh­ ca ca t©m t×nh kh«ng tèt thêi gian, tùu h¸t bµi h¸t lai ph¸t t¶ mét chót ®i.
17	Xem ra cõu nh©n cña ng­¬i thËt kh«ng İt. 	Ai nha, khİ trêi cµng ngµy cµng nãng, thËt cã ®iÓm kh«ng chŞu næi. 	Hai ngµy nµy ta ®Òu lµ cËt löng d¹. 	Ta nghÜ chóng ta m· cai t¾m. 	Tói x¸ch cña ng­¬i gãi kü l­ìng lo¹n a, ta quay ®Çu l¹i gióp ng­¬i thu thËp mét chót. 	V× sao ta cã nhiÒu nh­ vËy y phôc, vÉn c¶m thÊy thiÕu mÆc a!
18	Ng­¬i ®õng b¶ kh«ng cÇn ®«ng t©y nĞm cho ta. 	Lµm phiÒn ng­¬i kh«ng nªn l·o nh×n ch»m ch»m nh©n gia kh¸n! 	Ta ®Ünh ph¹ sĞt ®¸nh, kh«ng nªn c­êi nãi ta nga. 	Ngµy h«m nay con ngùa d­êng nh­ thËt cao høng a, ch¹y trèn rÊt tinh thÇn! 	§õng nh×n ta thŞ n÷ hµi tö, ta còng vËy rÊt cã khİ lùc. 	Ca ca, tÊt c¶ t¹p sèng ta toµn bao, kh«ng cÇn ng­¬i tù m×nh ®éng thñ.
19	Ta b©y giê cßn ch­a cã chuÈn bŞ s½n sµng vµ ng­¬i cïng nhau cïng cöa ¶i khã kh¨n. 	Ta kh«ng thİch ng­êi kh¸c vµ ta hay nãi giìn. 	Mçi ®¸o mét ®Şa ph­¬ng míi ta còng muèn giái h¬n h¶o du ngo¹n mét phen. 	Ca ca méng t­ëng lµ c¸i g× a, kh¶ dÜ nãi cho ta nghe sao? 	Ta sÏ bang ca ca tè tÊt c¶ ®ñ kh¶ n¨ng chuyÖn. 	NÕu nh­ thùc sù ®¸nh kh«ng l¹i ®Şch nh©n, mét chiªu cuèi cïng hay ch¹y trèn.
20	§õng t­ëng r»ng ta ®Ó ı ng­¬i chİnh lµ ®èi víi ng­¬i cã h¶o c¶m. 	Ta kh«ng thİch c©y ít, dİnh c©y ít g× ®ã ch­a bao giê ¨n. 	Ta mong muèn ë vïng ngo¹i « m·i khèi ruéng ®ång, kh¸o nu«i kª, ¸p lo¹i th¸i sinh ho¹t. 	Khi cßn bĞ ®· tõng méng t­ëng tè hoµng ®Õ phi tö, hiÖn t¹i còng kh«ng muèn nh­ vËy. 	ThËt lµ nhí nh­îng kİch th­íc l­ng ¸o t¸i nhá mét chót a! 	Ng­¬i ch­a tõng ®i hoµng cung ba, chç ®ã ch©n lµ phi th­êng ®Ñp a.
21	Ta nãi ng­¬i lµ ng­êi ®µn «ng, biÖt l·o c¶ ngµy l¶i nh¶i cã thÓ sao? 	Ta nghÜ ng­¬i mÆc lam s¾c y phôc cßn cã thÓ. 	Ca ca dù ®Şnh hµnh tÈu giang hå tíi khi nµo ni? 	Ta thİch ¨n nhÊt n­¬ng sao thè lùu c¶i tr¾ng. 	Lµm viÖc cã lóc còng cÇn biÕn b¸o, bÊt n¨ng th¸i gi¸o ®iÒu. 	Tùa hå rÊt İt thÊy ng­¬i ®äc s¸ch a, b×nh th­êng còng ph¶i chó ı ®éc ta th­ nga.
22	Nh×n d¸ng vÎ cña ng­¬i, cã bao nhiªu cöu mét t¾m! 	Râ rµng c­¬ng míi nh×n ®Õn phİa tr­íc cã chØ léc, chØ chíp m¾t sÏ kh«ng cã. 	Ng­¬i thİch g× d¹ng n÷ hµi tö? 	Ng­êi ph­¬ng b¾c thİch ë th¸i lı phãng t­¬ng du, kú thùc gi¸ lµ kh«ng ®óng. 	Cè chÊp vµ chÊp nhÊt thŞ hai viÖc kh¸c nhau, hai ng­êi cã b¶n chÊt kh¸c nhau. 	H× h×, ta vi ca ca tó nhÊt c¸i kh¨n tay.
23	Y phôc cña ng­¬i rÊt d¬, cßn cã mïi må h«i thói. 	Tr­íc khi ra cöa ta nhÊt ®Şnh ph¶i h­íng Bå T¸t cÇu b×nh an. 	? thêi ®iÓm chiÕn ®Êu ®õng quªn xem ta l­îng m¸u, ®óng lóc cho ta gia m¸u. 	T­¬ng du sÏ ph¸ h­ th¸i vµ thŞt nguyªn vŞ, cã thÓ kh«ng phãng sÏ kh«ng phãng. 	S¸ng sím còng kh«ng thÓ kh«ng ¨n ®iÓm t©m nga, ca ca. 	Phô cËn cã mét tè t­¬ng du t¸c ph­êng, së dÜ cã mét cæ t­¬ng du vŞ.
24	Ta sÏ kh«ng c¶m t¹ ng­¬i, bëi v× ta chØ lµ ng­¬i thuª lµm. 	Giang hå rèt cuéc cã c¸i g× hÊp dÉn ®Şa ph­¬ng cña ng­¬i ni? 	Rong biÓn lµ mét lo¹i rÊt tèt thùc vËt, th­êng cËt cã lîi th©n thÓ kháe m¹nh. 	R­îu gia vŞ thŞ nhÊt ®Şnh ®å gia vŞ, nã cã thÓ ®i trõ thŞt mïi. 	Tuy r»ng nh©n sinh bÊt qu¸ vµi thËp niªn, nh­ng lµ chóng ta còng ph¶i v× nã viÕt lªn xinh ®Ñp nhÊt v¨n ch­¬ng. 	Kh«ng nªn coi khinh n÷ tö a, kh«ng cã n÷ tö ®©u lai c¸c ng­¬i nam tö ni?
25	Ngo¹i trõ tiÔn, ta ®èi nh÷ng thø ®å kh¸c kh«ng cã høng thó. 	Trêi tèi, chóng ta ph¶i cÈn thËn ta. 	Cho ta gia m¸u thuèc vµ ng­¬i dïng kh«ng gièng víi, ph¶i chó ı nga! 	C¸i nÊm lµ phi th­êng tèt thùc vËt, ®«n bµi cèt vµ kª, gia mét İt héi t¨ng tiªn vŞ. 	BÊt luËn tíi khi nµo, ®Òu kh«ng nªn quªn th©n nh©n cña ng­¬i vµ b»ng h÷u. 	Ca ca nÕu nh­ khø bµi b¹c, ta sÏ kh«ng ®Ó ı ng­¬i.
26	Quèc gia h­ng vong vµ ta mét cã quan hÖ g× ba. 	Cho ta h¸t bµi h¸t nghe mét chót? 	Ta tr­íc ®©y cho r»ng c©y quıt vµ qu¶ cam lµ mét lo¹i hoa qu¶, nh­ng thËt ra lµ kh«ng ®ång d¹ng nh­ vËy. 	Ta thİch lµm c¬m, cã c¬ héi còng cho ca ca tè ba! 	Ta nghÜ sèng ®Õn chİn m­¬i chİn, còng kh«ng biÕt l·o Thiªn cã cho hay kh«ng ta c¬ héi nµy. 	Oa, thËt xinh ®Ñp hå ®iÖp a.
27	KiÒn nhiÒu İt sèng n· bao nhiªu tiÒn, ta sÏ kh«ng thªm vµo lµm cho ng­¬i c«ng. 	NÕu nh­ ng­¬i nghÜ mÖt nhäc, kh¶ dÜ uèng mét chót trµ s©m. 	Trªn c©y chim nhá lµm cho ch©n vui mõng! 	Nhµ ai ë sao cñ l¹c ni, thËt lµ th¬m a! 	§«n Hoµng lµ mét trµn ngËp truyÒn kú mµu s¾c ®Şa ph­¬ng. 	V× sao ta sanh ra ®­îc ®iÒu kh«ng ph¶i c«ng chñ ni, nh­ vËy ta còng sÏ kh«ng ®Ó ¸o c¬m mµ b«n ba.
28	MÆc dï ng­¬i lµ nam nh©n còng cã thÓ ph¶i chó ı h¹ d¸ng vÎ. 	Cña ng­¬i bİt tÊt ®Òu ph¸, thÕ nµo cßn ®ang mÆc a. 	Ta dù ®Şnh tèng cha ta mét bé quan chç tró ®å sø. 	Tù ta thñ c«ng lµm ba l«, ®Ñp m¾t kh«ng? 	¡n no ph¹n bÊt n¨ng lËp tøc ngñ, héi d¹ dµy ®au nhøc. 	§õng quªn b¶ vò khİ cña ng­¬i mµi mµi mét c¸i, thêi gian dµi sÏ x¶y ra tó.
29	§õng nãi ta lµ l¹nh lïng n÷ nh©n, ®èi víi ng­¬i ta tùu lo¹i th¸i ®é nµy. 	Ta nãi ng­¬i t¹i sao kh«ng cã ph¹n tiÒn trë l¹i ®­êng ngay thãi quen tèt ni? 	N¨m nay kh«ng thu lÔ, thu lÔ chØ lÊy æ b¸nh ng«. 	Ngµy h«m nay khİ trêi thËt kh«ng sai, h¶o m¸t mÎ a! 	Ta ®¸ng ghĞt tïy tiÖn sö dông b¹o lùc ng­êi cña. 	Ta biÕt ca ca sÏ kh«ng ®Ó cho chóng ta n÷ hµi tö mäi nhµ ®èi mÆt nguy hiÓm.
30	ChËm mét chót ®i, t­ëng mÖt chÕt ta sao. 	Chóng ta gièng nhau cËt tinh mÔ, nh­ng lµ v× th©n thÓ kháe m¹nh còng muèn cËt mét İt l­¬ng thùc phô. 	Trong phßng nÕu nh­ Èm ­ít cã m«i vŞ, hay dïng h­¬ng hu©n mét chót. 	Phô cËn cã ng­êi ë l¹p hå cÇm, thËt khã thİnh a! 	Nam nh©n ph¶i cã ®iÓm phong ®é, nhÊt ®Şnh ph¶i biÕt khiªm nh­îng n÷ hµi. 	Cã lÇm hay kh«ng, mang tíi thŞt kh« toµn bé nh­îng ta ¨n xong råi.
31	Ta c¶m gi¸c thËt kh«ng tèt, ng­¬i nh­îng ta th¸i mÖt nhäc. 	Buæi tèi nÕu cã thÓ ¨n ®­îc b÷a ¨n khuya tèt biÕt bao nhiªu. 	§ªm tr­êng tõ tõ, chØ cã hai chóng ta t¹i ®©y vïng ®ång néi - ngo¹i « ch¹y ®i. 	Ta khi cßn bĞ n­¬ng b×nh th­êng cho ta kÓ chuyÖn x­a thİnh. 	MÆc dï lín h¶i rÊt mü lÖ, thÕ nh­ng sãng giã lín thêi gian yÕu ly nã xa mét İt. 	Ta thùc sù lµ mét ng­êi th«ng minh a, vµ ng­êi kh¸c ®¸nh ®è th¾ng nhÊt tói b¹c, ha h¶.
32	Chóng ta chØ lµ thuª lµm quan hÖ, kh¸c kh«ng cã g× c¶. 	Ngo¹i trõ b¶o hé ng­¬i, tè trî thñ cña ng­¬i, ta nh­ng kh«ng lµm chuyÖn kh¸c. 	Ca ca cßn lµ İt uèng r­îu mét chót cho tháa ®¸ng, tiÖc r­îu háng viÖc. 	GÇn ®©y ca ca lßng cña chuyÖn tùa hå kh«ng sai ni, lu«n c­êi meo meo. 	Ta thİch th©n thñ mÉn tiÖp ng­êi cña. 	Cöa nhµ ta tiÒn nguyªn lai cã mét con s«ng, rÊt ®Ñp, nh­ng trµn lan th× l¹i che mÊt phô cËn th«n trang.
33	§õng t­ëng r»ng ng­¬i rÊt tuÊn tó, kú thùc ng­¬i chØ lµ mét Õch. 	Kh«ng biÕt ng­¬i thİch g× d¹ng y phôc? 	NÕu nh­ ta ë bê s«ng t¾m, ng­¬i ph¶i ®i ®¾c rÊt xa, bÊt n¨ng nh×n lĞn. 	Ca ca lµ kh«ng lµ cã thİch ng­êi? 	Ta ®Õn b©y giê cßn kh«ng biÕt ca ca thİch ¨n nhÊt c¸i g× ni? 	NÕu nh­ cã thÓ vµ ca ca nh­ vËy sinh ho¹t c¶ ®êi tèt biÕt bao nhiªu a!
34	Ng­¬i c­êi thêi gian so víi khãc cßn khã coi h¬n. 	Ta kh«ng thİch nh×n ng­¬i phông phŞu, c­êi mét c¸i! 	Ng­¬i ph¶i lµm ®¸o ¨n ngon nh­îng ta ¨n tr­íc, h¶o ngo¹n ®İch nh­îng ta ch¬i tr­íc. 	Rèt cuéc lµ na c« g¸i cã thÓ ®Ó cho ca ca nh­ vËy ®éng t©m ni? 	Ta ph¸t hiÖn ca ca thİch ¨n ®iÓm t©m nga. 	Chóng ta ng­êi Tèng khİ lùc kh«ng b»ng kim nh©n, nh­ng lµ chóng ta cã thÓ dïng canh mÉn tiÖp th©n thñ ®i ®èi phã bän hä.
35	CËt tái ba, bá ®i. 	Ta nghÜ m·i mét ®«i ®Ñp m¾t giÇy, thÕ nh­ng qu¸ m¾c. 	B©y giê trêi nãng nùc ph¶i nh­êng nh©n t­ëng nh¶y ®Õn trong s«ng khø t¾m! 	NÕu cã mét ngµy ®ªm, ca ca thùc sù thİch nhÊt c« g¸i, nh­ng kh«ng nªn quªn ta a! 	Ta thİch ë th¸i d­¬ng kh«ng cã th¨ng lóc thøc dËy mµ b¾t ®Çu luyÖn c«ng. 	LÇn tr­íc cã tªn tiÓu l­u manh mua ®å kh«ng xÕp hµng, bŞ ta h¶o h¶o söa ch÷a cho ¨n.
36	§õng lµm cho ngùa cña ng­¬i tíi gÇn ta. 	Kh«ng nªn kh¸o ta gÇn nh­ vËy, cã thÓ chø? 	B­íc ®i th× ph¶i chó ı ­ìn ngùc ngÈng ®Çu, hãp bông. 	Chóng ta cã thÓ hay kh«ng h¬i chót nghØ ng¬i mét håi, ca ca! 	RÊt râ rµng, chóng ta tùa hå quªn mÊt chuyÖn g×, thÕ nh­ng ta thÕ nµo còng kh«ng nghÜ ra. 	Ta lo l¾ng ca ca cã ng­êi trong lßng sÏ kh«ng thİch sÏ cïng ta cïng nhau.
37	Ng­¬i cã hoµng kim trang bŞ th× thÕ nµo, ta còng kh«ng l¹ g×. 	Ta h«m nay tinh thÇn kh«ng sai, ®óng kh«ng? 	Ng­¬i xem, èc sªn ë trªn l¸ c©y ba nha ba, thËt lµ ®¸ng yªu a. 	Kh«ng cÇn ®i ®¾c nhanh nh­ vËy sao, ta theo kh«ng kŞp ng­¬i. 	Kh«ng chÕt ®iÓu lµ mét lo¹i trong truyÒn thuyÕt ®iÓu, lµ cña ta thñ hé thÇn. 	Thanh long, B¹ch Hæ, chu t­íc, HuyÒn Vò, tø ph­¬ng thÇn lı ng­êi nµo lµ ng­¬i thİch nhÊt ni?
38	Phong thuû thay phiªn chuyÓn, kh«ng nªn qu¸ ®¾c ı. 	Ng­¬i häc qua b¸t qu¸i sao, rÊt cã ı. 	Ta thİch c©y liÔu vµ c©y ®µo, bëi v× chóng nã n¨ng trõ tµ. 	Trêi thu lµ ta thİch nhÊt mïa, kh¶ dÜ ¨n ®­îc rÊt nhiÒu hoa qu¶. 	Ta kú thùc kh«ng thİch ®¶ ®¶ s¸t s¸t, kh¸t väng qu¸ cuéc sèng yªn tÜnh. 	Ng­¬i v× sao kh«ng mÆc ta lµm cho ng­¬i giµy ni, thËt ®Ó cho ta th­¬ng t©m.
39	Ta thİch lµm c¸i g× liÒn lµm, kh«ng cÇn ng­¬i tíi can thiÖp. 	Ta thÊy nhÜ l·o khø nhµ vÖ sinh, cã ®óng hay kh«ng mãn bao tö kh«ng tho¶i m¸i. 	Mïa hÌ th× ph¶i chó ı ®Ò phßng tróng giã h¹ nhiÖt ®é, kh«ng nªn h¸t th¸i l¹nh g× ®ã. 	A, ta võa tùa hå thÊy ta b¸c, l¹i thİch gièng ®iÒu kh«ng ph¶i, ha h¶. 	Ngµy h«m nay t©m t×nh kh«ng tèt, bëi v× ta ®äc nhÊt thiªn rÊt th­¬ng t©m th¬. 	Ngay c¶ ta biÓu ®Ö còng thµnh h«n, ta h«n sù vÉn kh«ng cã r¬i.
40	Ta hoµi nghi ng­¬i nam nh©n nh­ vËy cã thÓ cã n÷ nh©n thİch kh«ng? 	Ta cã ta chŞu kh«ng næi ph­¬ng b¾c khİ hËu, nhÊt lµ mïa ®«ng, qu¸ l¹nh! 	MÆt trêi lín nh­ vËy, b¶ ven ®­êng hoa cá toµn bé ph¬i n¾ng yªn. 	Ta muèn nhÊt ng­êi b¶o vÖ hay ca ca ng­¬i. 	V× sao høa tiªn ph¶i bŞ B¹ch n­¬ng tö, thùc sù lµ kh«ng râ. 	Võa ®Õn qu¸ ®ªm thÊt tŞch ta tùu t­¬ng ®èi phiÒn muén, nh©n gia ®¸m thµnh ®«i ghĞp thµnh ®«i, chØ cã ta lÎ loi mét m×nh.
41	§õng t­ëng r»ng c« g¸i kh¸c kh¸n ng­¬i chİnh lµ ®èi víi ng­¬i cã h¶o c¶m. 	C­¬ng míi nh×n ®Õn mét con hoa miªu mang theo vµi con mÌo nhá t¶n bé ni. 	NÕu nh­ ng­¬i b×nh th­êng nh­îng ta ngñm, quan hÖ cña ta vµ ng­¬i l¹i sÏ cµng ngµy cµng kh«ng tèt. 	Cã ®«i khi chóng ta còng cã thÓ thö liªn thñ víi ng­êi kh¸c ®i ®èi phã ®Şch nh©n. 	Buæi tèi nh×n huúnh háa trïng phi h­íng thiªn kh«ng c¶nh t­îng thùc sù rÊt ®Ñp nga! 	Ca ca, ng­¬i xem c¸i nµy lµ c¸i g×? Ha h¶, tù ta tó h­¬ng tói.
42	NÕu nãi ®Õn ai kh¸c tr­íc h¼n lµ tiªn kiÓm th¶o chİnh. 	Con ng­êi cña ta hay thİch châ mâm vµo. 	Ta biÕt ca ca lµ mét cÈn thËn tØ mØ, «n nhu nh©n. 	§èi mÆt ®Şch nh©n c­êng ®¹i, hai ng­êi chóng ta thŞ kh«ng ®ñ, ph¶i cïng ng­êi kh¸c liªn hîp l¹i. 	Tèi h«m nay ¸nh tr¨ng rÊt quû dŞ. 	Ta khi cßn bĞ thİch nhÊt leo c©y, bÊt qu¸ vµi quay vÒ ®i tíi s­îng mÆt.
43	§µn «ng c¸c ng­¬i lu«n lu«n cho lµ m×nh rÊt rÊt giái ba. 	ThËt biÕt ®iÒu, l­ìng con b­ím ë ch¬i ®ïa. 	Nhµ ai ph¬i n¾ng mÆn c¸ ni, ch©n thèi! 	Cã nhiÒu lÇn ta vµ ca ca ®Òu båi håi ë bªn bê sinh tö ni. 	Ta h­íng tíi cuéc sèng tù do tù t¹i, tùu gièng nh­ hiÖn t¹i. 	Nãi kh«ng chõng bao thuë ta sÏ tho¸i Èn giang hå, khi ®ã tèi kh«ng bá ®­îc hay ca ca.
