talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
14	Ta sÏ kh«ng t¸i tin t­ëng ng­¬i! 	NÕu nh­ cã thÓ ngåi xe thËt lµ tèt biÕt bao nha. 	GÊu chã vµ h«i hïng ng­êi nµo lîi h¹i? §¸p ¸n thŞ: H«i hïng. 	Tû tû, ng­¬i ngµy h«m nay thøc dËy rÊt sím nga! 	§­êng m«n dÆm vò khİ ®Òu rÊt kú l¹! 	§a th­êng nãi, giang hå hiÓm ¸c ®¸ng sî, ph¶i xö chç cÈn thËn a!
15	Tr­íc kia b¹n th©n nãi n÷ nh©n xinh ®Ñp rÊt héi g¹t ng­êi, nguyªn lai lµ thùc sù! 	Ta nãi, b¶o kiÕm ph¶i ®­îc th­êng mµi míi cã thÓ s¾c bĞn. 	TrÇn ®¹i tÈu l¹i x¶y ra mét tiÓu bĞo nhi tö, thùc sù lµ h¹nh phóc nha! 	Ta ®· l©u kh«ng cã vui vÎ nh­ vËy! 	Minh Gi¸o gi¸o chñ nghe nãi vâ c«ng c¸i thÕ v« song! 	Lóc ®ã ®a muèn d¹y ta vâ c«ng thêi gian, mÉu th©n thŞ rÊt kh«ng cao høng ni!
16	BÇu trêi r¬i mét h·m bİnh còng kh«ng tíi phiªn ng­¬i kiÓm, ng­¬i ®õng cã n»m méng! 	Kú thùc, mçi ng­êi ®Òu còng cã rÊt nhiÒu ı nghÜ! 	Mïa ®«ng ®Õn råi, n­íc s«ng sÏ kÕt b¨ng ba? 	Mïa ®«ng chóng ta kh¶ dÜ ë kÕt b¨ng trªn s«ng t¹c c¸i læ thñng c©u c¸, ha ha! 	Tû tû, chóng ta lµ phñ cai lo l¾ng t×m mét chç ®Æt ch©n tiªn? 	BÇu trêi nÕu nh­ ch©n r¬i h·m bİnh, bŞ ta nhÆt ®­îc nãi, ta sÏ ph©n cho tû tû!
17	Ng­¬i dÉn ta lai ®Şa ph­¬ng quû qu¸i nµy lµm c¸i g×? 	LuyÖn vâ lµ v× c­êng th©n, mµ kh«ng ph¶i dïng ®Ó ®¸nh nhau! 	Chóng ta lóc nµo tµi n¨ng ë trªn biÓn chung quanh lay ®éng ni? 	Nghe nãi gÇn ®©y s¬n tÆc rÊt nhiÒu, bÊt qu¸ tû tû kh«ng cÇn sî, cã ta ë ®©y! 	Kh«ng biÕt cã ph¶i hay kh«ng lµ thËt sù cã thÇn binh lîi khİ ni? 	Tû tû, Giang Nam d©n dao ®Òu tèt thó vŞ nga!
18	Ta cho ng­¬i biÕt, ®õng t­ëng r»ng lµm bé rÊt tèt víi ta lµ ®­îc! 	Nga ~ h÷u s¬n h÷u thñy ®Şa ph­¬ng nhÊt ®Şnh rÊt ®Ñp ba! 	Tõng mô mô ®« héi t­ëng niÖm con cña m×nh! 	§­êng triÒu nghe nãi cã rÊt nhiÒu v¨n nh©n nh· sÜ, ®¸ng tiÕc hiÖn t¹i ®Òu thiªn cæ! 	Tû tû biÕt lîi h¹i nhÊt vâ c«ng lµ c¸i g× kh«ng? 	Tû tû, vi ng­êi cã tiÒn g× nhµ tiÓu th­ ®Òu ph¶i bã ch©n ni?
19	Ta vµ ng­¬i còng rÊt thuéc! 	Ng­¬i kh«ng cÇn lo l¾ng cho ta, cßn lµ ngÉm l¹i ng­¬i sau ®ã lµm thÕ nµo chø. 	Kú thùc rïa vÉn lu«n sèng ®­îc rÊt æn träng. 	Ta th­¬ng t©m thêi gian, tæng héi muèn ®i c¹nh biÓn, ng­¬i nguyÖn ı theo ta ®i kh«ng? 	Vµ tû tû ®i ra lai trë thµnh, thùc sù nh­îng ta tr­êng kiÕn thøc! 	§ét nhiªn ph¸t hiÖn cã ®iÓm l¹nh, tû tû gióp ta n· y phôc nga!
20	Ng­¬i thËt kh«ng s¨n sãc, thïy c­íi ng­¬i, thïy kh«ng may! 	A! Ghª tëm muçi! 	TiÒu, ng­êi chim thËt xinh ®Ñp. 	Tû tû hiÓu ®­îc g× ®ã, thùc sù thËt nhiÒu nha! 	Ta b×nh th­êng lµm tèt sù, thÕ nh­ng còng kh«ng l­u danh ch÷! 	Ngµy ®ã khø TrÇn huyÖn lÖnh trong nhµ ¨n s¬n tr©n h¶i vŞ thùc sù lµm cho hoµi niÖm!
21	Ta rèt cuéc chiÕu kh«ng lo ®­îc ng­¬i! 	Kú thùc vâ c«ng lîi h¹i nhÊt chØ cã ba ch÷, kho¸i, ngoan, chuÈn. 	N¬i nµy ban ngµy cïng buæi tèi kú thùc ®Òu rÊt ®Ñp. 	Ngµy h«m qua ®ông tíi tiÓu Lı tö, h¾n nãi con cña h¾n ®· ®Çy th¸ng! 	V­¬ng bµ bµ ngµy h«m nay tÆng hai ta mét trøng gµ nga! 	Tû tû ®i ra ®· l©u nh­ vËy, héi nhí nhµ sao?
22	§i l©u nh­ vËy, ta ®Òu nhanh mÖt chÕt ®i ®­îc! 	Ra mßi, ngµy h«m nay sau ®ã m­a nga. 	¤ ~~~ ®· l©u kh«ng ®¸o ta thİch nhÊt t«ng tö! 	C¸i Bang tù x­ng ®Ö nhÊt thiªn h¹ ®¹i bang, kh«ng biÕt thiÖt hay gi¶? 	A Ng­u ca bŞ V­¬ng c«ng tö ®¸nh chÕt, tû tû chóng ta b¸o thu` cho h¾n kháe? 	Ngµy ®ã ë r¬i xuèng v¸ch nói, nhê cã tû tû cøu ta ni, kh«ng ph¶i...
23	Ta ch©n hèi hËn vµ ng­¬i ®i ra cïng víi! 	§¶ qu¸i thêi gian, hay nhÊt muèn dÉn mét İt khÉn cÊp vËt phÈm. 	Nghe nãi ba ®Ëu ¨n mãn bao tö héi khã chŞu nga! 	Nghe nãi ngµy h«m qua trong nha m«n m· ®Òu bŞ nh©n cÊp ®éc chÕt! 	BÊt qu¸ cã ®«i khi ngÉm l¹i còng lµ, oan oan t­¬ng b¸o bao thuë! 	L©m l·o gia qu¶n gia rÊt thÕ lùc, thùc sù lµ chã cËy gÇn nhµ, gµ cËy gÇn chuång a!
24	§õng víi ta c­êi, ta hiÖn t¹i rÊt nghiªm tóc! 	Ng­¬i nÕu nh­ ®¸ng ghĞt ta, xin ng­¬i nhÊt ®Şnh ph¶i nãi cho ta biÕt. 	LuyÖn vâ lµ v× c­êng th©n, mµ kh«ng ph¶i dïng ®Ó ®¸nh nhau! 	M¾t thÊy th¸i d­¬ng sÏ xuèng nói, chóng ta cïng ®i kh¸n mÆt trêi chiÒu kháe? 	LÏ nµo tû tû tõ kh«ng v× m×nh chung th©n ®¹i sù ngÉm l¹i sao? 	Më lín thÈm nhi tö ngµy h«m tr­íc rêi bÕn ®¸nh c¸, nghe nãi thuyÒn bŞ xuy lËt!
25	Kh«ng thİch nhÊt nh©n gia ë bªn tai ta R«-d«! 	Oa, hiÖn t¹i míi ph¸t hiÖn ng­¬i n¾ng ¨n ®en nga. 	Kh¸i ~ kh¸i ~ ng· bÖnh thËt khã thô! 	MÆt trêi chiÒu v« h¹n h¶o, chØ lµ cËn hoµng h«n! 	Tû tû h«m nay mÆc y phôc thËt xinh ®Ñp nha! 	Kú thùc ta rÊt muèn häc nÊu ¨n, häc giái tù m×nh nÊu ¨n cÊp tû tû cËt!
26	TiÒu ng­¬i mét bøc rÇu rÜ d¸ng vÎ kh«ng vui, ®éng n÷ hµi tö ®Òu thİch nh­ vËy chø? 	Môc ®ång c­ìi ë bß trªn l­ng, cã ®iÓm muèn nh×n bß cã vÎ tøc giËn. 	Ta ph¸t hiÖn ng­¬i thËt l©u kh«ng cã mua quÇn ¸o nga! 	N¨ng cïng tû tû, ta tùu rÊt vui vÎ! 	TiÒu, ng­êi th­ sinh kia chİnh nh×n tû tû nét! 	V× sao ng­êi nhiÒu nh­ vËy ®Òu ë ®©y thi khoa cö ni?
27	Kh«ng cã viÖc g× ph¶i ®i tó thªu hoa vµ v©n v©n, biÖt lai phiÒn ta? 	Ai nha, ®au bông. 	Mïa ®«ng tíi, mïa xu©n còng sÏ kh«ng xa! 	GÆp chuyÖn bÊt b×nh, rót dao t­¬ng trî míi lµ thËt anh hïng! 	Tû tû, ta b¶ V­¬ng bµ bµ tèng ta trøng gµ ph©n mét cho ng­¬i cËt! 	C«ng danh lîi léc, vinh hoa phó quı, thùc sù nh­ vËy mª ng­êi sao?
28	Nãi cho ng­¬i biÕt, ly khai ng­¬i, ta kh«ng cã ı tø quyÕn luyÕn! 	¢m thÇm, l¼ng lÆng, nh­ vËy míi ph¶i ngñ ma. 	Yªn t©m ®i, ta sÏ thËt tèt b¶o vÖ ng­¬i! 	Tû tû nhÊt ®Şnh còng t­ëng trë thµnh mét næi tiÕng n÷ hiÖp ba! 	DuyÖt lai kh¸ch s¹n nghe nãi bŞ mét ®¸m ®anh ®¸ ®Ëp! 	Kú thùc b×nh an hay phóc, tû tû ng­¬i nãi ®óng kh«ng?
29	§èi ®·i biÖt lu«n lu«n nh­ vËy dèi tr¸! 	Cã r·nh rçi ng­¬i còng trang phôc mét chót ®i. 	Ng­¬i h¼n lµ tin t­ëng thùc lùc cña ta! 	Tû tû vâ c«ng ngµy gÇn ®©y hùu tiÕn bé kh«ng İt nga! 	ThiÖn h÷u thiÖn b¸o, nh­ tû tû nh­ vËy ng­êi tèt nhÊt ®Şnh sÏ cã h¶o b¸o! 	Víi ta mµ nãi, mçi ngµy hiÓu ®­îc cËt, n¨ng thÊy tû tû, ta tùu rÊt vui vÎ!
30	Ng­¬i ®i cña ng­¬i D­¬ng quan ®¹o, ta qu¸ ta cÇu ®éc méc! 	Ng­êi kia thÕ nµo toµn th©n thŞ c©y cá, cßn bŞ c¾m ë ®iÒn lı ni? 	C¸i g×? A Long gia bß sinh chØ ngò ch©n nh·i con? 	§ªm qua kh«ng cã sao, kh«ng biÕt tû tû cã ph¸t hiÖn hay kh«ng! 	Nghe nãi Minh Gi¸o t­ëng thèng nhÊt toµn bé vâ l©m, ng­¬i nghÜ kh¶ n¨ng sao? 	Kú thùc ta còng cã chİ h­íng thËt xa, bÊt qu¸ kh«ng cã ı tø nãi ra!
31	Kh¶ n¨ng chóng ta hËu héi v« kú, ta ch©n hµi lßng! 	Ta tr­íc ®©y ®èi víi ng­¬i nh­ vËy, ng­¬i kh«ng ng¹i ba! 	Ha ha ha ~~~ ng­¬i thËt biÕt nãi ®ïa! 	Quan kh¸n hiÖn t­îng thiªn v¨n kú thùc còng lµ mét lo¹i häc vÊn ni! 	Ngµy h«m qua ta quan thiªn, thÕ nh­ng còng m©y ®en, ta chØ biÕt ngµy h«m nay sau ®ã m­a! 	Chİnh kş m· qu¸ mÖt mái, cßn lµ täa m· xa tho¶i m¸i, tû tû ng­¬i cø nãi ®i?
32	Ta mçi ngµy ë muèn nh­ thÕ nµo tho¸t khái ng­¬i! 	Cã ®«i khi ngÉm l¹i, kú thùc nh©n sinh còng rÊt ng¾n! 	Ánh m¾t h¶o chãi m¾t a! 	Kú m«n ®én gi¸p nghe nãi vËt nµy lµ th­¬ng triªu th× cã ph¸t hiÖn! 	Nghe nãi kh«ng ngñ ngon sÏ lµm da trë nªn kĞm nga, tû tû ph¶i chó ı! 	Cã ng­êi muèn th­¬ng tæn tû tû, ta sÏ cïng h¾n liÒu m¹ng!
33	Trong m¾t cña ta, ng­¬i ®· thµnh c¸i tói x¸ch cña ta phôc! 	Cña ng­¬i vâ thuËt b©y giê cßn ch­a ®­îc a, ph¶i ®­îc th­êng luyÖn! 	TrÇn thî rÌn tay cña nghÖ nghe nãi rÊt tèt ni! 	Khi cßn bĞ rÊt thİch ch¹y ®Õn ®Ønh nói, sau ®ã nh×n viÔn ph­¬ng h­ h­. 	Oa, miÖng cña ta ¨n ®­îc bÈn ®«ng t©y khëi bäc, « ~~~~~	Gi¸ trÊn trªn ®Õn buæi tèi cßn lµ rÊt n¸o nhiÖt nga!
34	Trai hiÒn mµ chİ ë bèn ph­¬ng, ng­¬i ®õng lµm trë ng¹i ta! 	Cã chót thêi gian, ng­¬i ph¶i cho ta nhiÒu mét chót tù do! 	Con cäp kú thùc gièng nhau kh«ng dÔ dµng ®¶ th­¬ng ng­êi! 	Kh«ng xong, m¾t cña ta quyÓn thÕ nµo ®en kŞt, sÏ kh«ng tróng ®éc ba. 	Thiªn tµi vµ tµi trİ b×nh th­êng cã c¸i g× kh¸c nhau ni? Kú thùc tùu kĞm mét ch÷ ma! 	Chóng ta ®i xa nh­ vËy, khã cã ®­îc cã nãng nh­ vËy g©y trÊn nhá!
35	Ng­¬i ®õng t­ëng n¬i chèn qu¶n ta, ng­¬i kh«ng ®­îc! 	Ng­¬i ph¶i nhiÒu cËt ta rau d­a hoa qu¶, míi sÏ kh«ng thay ®æi bĞo! 	? trong rõng c©y thêi gian ph¶i cÈn thËn ®éc xµ nga! 	Tû tû tay cña quyªn th¬m qu¸ nga. 	Oa t¾c ~~~ Lı s­ phã lµm b¸nh n­íng qu¶ nhiªn kh¸ lín! 	H¶o İt ngµy tíi nay, chóng ta còng kh«ng cã nh­ thÕ th¶nh th¬i qua!
36	Nãi cho ng­¬i biÕt, khèc còng kh«ng dïng, ®õng t­ëng r»ng khãc ta sÏ nhÑ d¹! 	Vâ c«ng cña ng­¬i cßn kh«ng cã luyÖn ®Õn gia, chÈm yªn t©m ng­¬i mét ng­êi hµnh tÈu giang hå! 	GiÕt qu¸i thêi gian ngh×n v¹n lÇn ph¶i cÈn thËn, ®õng lµm cho ta lo l¾ng ni! 	Nhí kü tr­íc ®©y ë nhµ thêi gian, ta còng nu«i con thá tr¾ng nhá! 	Tû tû, nghe nãi hå ®iÖp còng cã mét xinh ®Ñp thuËt l¹i, ng­¬i biÕt kh«ng? 	Míi b­íc ch©n vµo giang hå ngo¹i trõ næi danh, chóng ta hoµn ®ang ®eo ®uæi c¸i g× ni?
37	Ng­¬i thËt lµ mét quyÕt ng­êi cña! 	Ta cã ®óng hay kh«ng rÊt biÕt lµm ng­êi, ha ha ha ~~	Cña ng­¬i tiÕng ca rÊt ªm tai! 	Tû tû còng nghÜ ®Õn nh­ ı lang qu©n ba! 	Trong kho¶ng thêi gian nµy giang hå lŞch l·m nh­îng chóng ta ®Òu lín lªn nga! 	§¹i gia tuy r»ng ®Òu kh«ng ph¶i lµ rÊt giµu cã, thÕ nh­ng còng rÊt ®ång lßng, kh«ng biÕt tû tû cã ph¸t hiÖn hay kh«ng?
38	Ng­¬i qu¶ thùc ®ang l·ng phİ thêi giê cña ta! 	Võa nãi miÖng th× lµm, cã n­íc uèng sao? 	Cña ng­¬i tµi ®¸nh cê tiÕn bé kh«ng İt nga! 	Trêi ¹! §ã lµ. . . §ã lµ. . . H¾c h¾c, biÖt khÈn tr­¬ng nh­ vËy ma! 	Sím biÕt r»ng ngµy h«m nay kh«ng mÆc nhiÒu nh­ vËy, nhiÖt tö ta nga! 	Tû tû lóc r·nh rçi cã thÓ d¹y ta thøc nhiÒu ch÷ h¬n sao?
39	Nµy! Ta nãi ta ®ãi bông råi, ng­¬i cã nghe hay kh«ng! 	Ai nha ~ ®Çu cña ta l¹i b¾t ®Çu ®au ®ín! 	§­îc råi, ng­¬i héi vÏ mét chót sao? 	A khãc ~~~ xong, ta bŞ phong hµn! 	Ta nghÜ xong, sau ®ã ph¶i thËt tèt thİnh lêi cña tû tû! 	Ngµy mai chóng ta còng rêi bÕn khø, kháe?
40	C¶ ngµy n¬i cuèng, ng­¬i cã mÖt hay kh«ng a! 	C­êi mét chót ®i, nhÜ h¶o cöu mét në nô c­êi nga! 	Ngµy ®ã nh×n thÊy ta tuæi th¬ ®ång bän, h«m nay còng c­íi mét ng­êi vî! 	Tû tû, V­¬ng l·o ngò cã ®óng hay kh«ng nãi nµy kh«ng c­íi ®­îc ng­êi vî ng­êi cña ni? 	Chim s¬n ca tiÕng ca vµ tû tû tiÕng ca so s¸nh víi, tû tû sÏ tèt h¬n thİnh nga! 	Ph­¬ng b¾c ®«ng trêi mÆc dï rÊt l¹nh, thÕ nh­ng mét m¶nh tr¾ng xo¸ tuyÕt thÕ giíi, ®Ñp qu¸ nha!
41	LÏ nµo ng­¬i mét ®iÓm ®Òu thÓ héi kh«ng ®­îc c¶m thô cña ta sao? 	§­îc råi, vµ ng­¬i cïng nhau l©u nh­ vËy, ng­¬i ch­a tõng h¸t cho ta nghe! 	YÕu uèng nhiÒu n­íc mét chót, nh­ vËy tµi kh«ng dÔ dµng sinh bÖnh! 	§©y lµ ta dïng r¬m r¹ tr¸t ch©u chÊu, ng­¬i xem ®Ñp m¾t kh«ng? 	LuyÖn vâ cè nhiªn träng yÕu, th©n thÓ kháe m¹nh quan träng h¬n! 	Tû tû, t­ëng h¶o tho¸i Èn giang hå hËu muèn ®i ®©u sao?
42	§èi ng­¬i nh­ vËy ®· to¸n kh¸ch khİ! 	Kú thùc rÊt nhiÒu chuyÖn nghÜ th«ng suèt, còng sÏ kh«ng nghÜ cã c¸i g×! 	Ta kh«ng thİch h¸t töu, na héi nh­îng ®Çu ta ®au nhøc! 	Kinh thµnh nghe nãi rÊt lín, kh«ng biÕt tû tû cã ®i qua ch­a? 	Ha ha, kú thùc ta h¸t còng lµ rÊt ªm tai nga, ng­¬i nghÜ thİnh sao? 	Tû tû thİch g× d¹ng cËu con trai ni?
43	Mçi ngµy ®Òu ph¶i ®èi mÆt víi ng­¬i, thËt ®Ó cho ta khã chŞu! 	Ng­¬i cã huynh ®Ö tû muéi sao? 	Ng­¬i b×nh th­êng khø b¸i phËt sao? 	HiÖn t¹i lµm quan ®Òu rÊt xÊu ni! 	HiÖn t¹i cã thËt nhiÒu th­¬ng nh©n tõ phÇn ®Êt bªn ngoµi kinh th­¬ng trë vÒ ®Òu ®ông tíi s¬n tÆc ni! 	Tû tû ng­¬i c¶m thÊy rÊt mÖt nhäc sao, ta gióp ng­¬i khø rãt chĞn trµ ba!
44	§æi thµnh ta lµ ng­¬i, ta ®i sím tù s¸t! 	NÕu nh­ ta cã thÓ bay th× tèt råi, còng kh«ng cÇn cïng ng­¬i tè nhiÒu nh­ vËy lé! 	Hoµng ®Õ thËt sù cã nhiÒu nh­ vËy ng­êi vî? 	Ngµy h«m qua V­¬ng viªn ngo¹i gia tao ®¹o tÆc! 	C¸i Bang tin tøc nghe nãi lµ linh th«ng nhÊt, cã cÇn kh«ng ng¹i cã thÓ t×m bän hä! 	Tû tû tay ng­¬i vßng tay, ch¼ng lÏ kh«ng cÈn thËn vøt bá ba!
45	Ng­¬i thùc sù mét ®iÓm ®Òu kh«ng biÕt m×nh ®· lµm sai ®iÒu g× sao? 	Cã ®«i khi ph¶i chó ı d­íi m×nh dung nhan nga! 	Ch©n kh«ng tin trô v­¬ng cã ng­êi gia nãi tµn nhÉn nh­ vËy! 	Tû tû nÕu muèn ®éc bé vâ l©m, cßn muèn cµng thªm nç lùc míi ®­îc nga! 	Ta th­êng th­êng ®ang suy nghÜ tû tû héi thİch g× ni? 	NÕu nh­ ta cã b¶ tèt h¬n vò khİ th× tèt råi!
46	Ta ph¸t hiÖn vµ ng­¬i c©u th«ng thùc sù rÊt khæ cùc! 	N÷ hµi nh©n gia c¶ ngµy hung ba ba, mét ®iÓm ®Òu kh«ng ®¸ng yªu! 	Kú thùc ta rÊt ®¸ng ghĞt chiÕn tranh! 	Oa, mïa thu l¸ rông kú thùc còng lµ mét ®¹o xinh ®Ñp phong c¶nh! 	ThuËt l¹i cã lo¹i l× lîm kim tµm b¶o gi¸p, kh«ng biÕt cã ph¶i hay kh«ng lµ thùc sù? 	Minh Gi¸o tø ®¹i Thİch Ca M©u Ni nghe nãi ®Òu cã rÊt lîi h¹i vò khİ nga!
47	MÆt cña ng­¬i vµ khæ qua nh­ nhau xÊu xİ! 	Oa, thËt lµ lín tr¸i c©y, cho ta sao? 	NhÊt t­íng c«ng thµnh v¹n cèt kh«, ng­¬i biÕt cã ı tø sao? 	Ha ha, ta hùu ph¸t hiÖn mãn chuyÖn thó vŞ, bÊt qu¸ kh«ng nãi cho ng­¬i! 	Ngµy h«m qua ë kh¸ch s¹n b×nh d©n ¨n c¸ thËt kh«ng míi mÎ nga! 	Tû tû ng­¬i c­ nhiªn héi sî sÊm ®¸nh, ha ha!
