problemid	problemcontent	channelA	channelB	channelC
38	Phßng thñ cña §ång hµnh s¾p theo thø tù lµ: 	phßng vËt lı, phßng ®éc, phßng b¨ng, phßng háa, phßng l«i  	phßng vËt lı, phßng b¨ng, phßng l«i, phßng háa, phßng ®éc 	phßng vËt lı, phßng b¨ng, phßng háa, phßng ®éc, phßng l«i  
39	§ång hµnh cã tèc ®é ch¹y vµ thuéc tİnh may m¾n kh«ng?	ChØ cã tèc ®é ch¹y	ChØ cã may m¾n	Hai lo¹i ®Òu cã 
40	Thuéc tİnh nµo d­íi ®©y ng­êi ch¬i kh«ng cã?	Søc m¹nh	Chİnh x¸c	Tinh lùc
41	Thuéc tİnh nµo §ång hµnh kh«ng cã?	Tİnh c¸ch	Néi c«ng	Chİnh x¸c
42	C¸c nhãm thuéc tİnh d­íi ®©y, nhãm nµo thuéc t­ chÊt?	Sinh lùc, tèc ®é ch¹y, may m¾n	Chİnh x¸c, søc m¹nh, néi c«ng	NĞ tr¸nh, th©n ph¸p, may m¾n
43	Thuéc tİnh quyÕt ®Şnh  sù tr­ëng thµnh nhanh chËm lµ g×?	Søc m¹nh	S¸t th­¬ng	T­ chÊt
44	TrŞ sè thuéc tİnh ¶nh h­ëng t­ chÊt cña §ång hµnh sÏ bŞ biÕn ®æi ë ®¼ng cÊp nµo?	20	70	90
45	§ång hµnh cã ®¼ng cÊp cao nhÊt kh«ng?	Cã 	Kh«ng cã 	Dïng vËt phÈm ®Æc biÖt cã thÓ t¨ng ®¼ng cÊp
46	§¼ng cÊp cao nhÊt cña §ång hµnh lµ 	80	100	120
47	T­ chÊt cao nhÊt lµ bao nhiªu?	5	8	10
48	§ång hµnh cã thÓ mÆc trang bŞ kh«ng?	Cã thÓ 	Kh«ng	Kh«ng nhÊt ®Şnh
49	Lµm nhiÖm vô cã thÓ t¨ng t­ chÊt cña §ång hµnh kh«ng?	NhiÖm vô s¬ nhËp cã thÓ 	HiÖn t¹i vÉn ch­a ®­îc	Lµm nhiÖm vô cã thÓ 
50	TrŞ sè thuéc tİnh ¶nh h­ëng t­ chÊt cña §ång hµnh sÏ bŞ biÕn ®æi ë ®¼ng cÊp nµo?	CÊp 10, cÊp 30, cÊp 40, cÊp 90	CÊp 10, cÊp 30, cÊp 50, cÊp 90	CÊp 10, cÊp 20, cÊp 50, cÊp 90
51	§Şnh nghÜa vÒ t­ chÊt d­íi ®©y c©u nµo ®óng?	§ång hµnh t­ chÊt gièng nhau khi th¨ng cÊp cã g× kh¸c biÖt?	§ång hµnh cã t­ chÊt gièng nhau khi t¨ng cÊp cã g× kh¸c biÖt?	T­ chÊt chØ cã 1
52	§Æc ®iÓm cña §ång hµnh Dòng M·nh lµ?	Sinh lùc gi¶m 30% sÏ ch¹y	TÊn c«ng ®èi thñ kh«ng sî bŞ th­¬ng	TÊn c«ng kÎ ®Şch cã m¸u İt
53	Trong ph¹m vi cã nhiÒu kÎ ®Şch, §ång hµnh Dòng M·nh sÏ:	TÊn c«ng kÎ ®Şch cã m¸u İt	Bá ch¹y	TÊn c«ng kÎ ®Şch ®øng gÇn
54	Lo¹i §ång hµnh nµo tÊn c«ng kÎ ®Şch İt m¸u nhÊt?	Dòng M·nh	VÖ Chñ 	L­u Mang
55	§ång hµnh L­u Mang cã bá ch¹y kh«ng?	Gi¶m	Kh«ng gi¶m	Kh«ng râ 
56	§ång hµnh L­u Mang lóc hÕt m¸u sÏ bá ch¹y	10%	20%	30%
57	Trong ph¹m vi cã nhiÒu kÎ ®Şch, §ång hµnh VÖ Chñ sÏ: 	Gióp ng­êi ch¬i t¨ng m¸u	Kh«ng lµm g× hÕt	Tïy c¬ øng biÕn
58	§ång hµnh VÖ Chñ mÊt bao nhiªu m¸u míi bá ch¹y?	20%	30%	SÏ kh«ng bá ch¹y
59	§Æc ®iÓm cña §ång hµnh Näa Nh­îc? 	BŞ tÊn c«ng sÏ bá ch¹y	SÏ tÊn c«ng kÎ ®Şch ë gÇn	SÏ tÊn c«ng kÎ ®Şch m¸u İt
60	M¸u cña §ång hµnh Näa Nh­îc gi¶m ®Õn bao nhiªu sÏ bá ch¹y?	10%	20%	30%
61	§ång hµnh kh«ng bá ch¹y cã: 	VÖ Chñ, L­u Mang	Dòng M·nh, VÖ Chñ 	L­u Mang, Näa Nh­îc
62	§ång hµnh kh«ng nghÜ ®Õn tæn th­¬ng b¶n th©n cã 	Dòng M·nh, VÖ Chñ 	VÖ Chñ, L­u Mang	L­u Mang, Näa Nh­îc
63	§ång hµnh sÏ bá ch¹y cã 	Dòng M·nh, VÖ Chñ 	VÖ Chñ, L­u Mang	L­u Mang, Näa Nh­îc
64	T­ chÊt cña §ång hµnh cã thÓ t¨ng kh«ng?	Cã thÓ 	Kh«ng thÓ 	Kh«ng biÕt
65	§ång hµnh cã t­ chÊt gièng nhau khi t¨ng cÊp thuéc tİnh cã t¨ng gièng nhau kh«ng?	Gièng nhau	Kh«ng gièng nhau	Cã thÓ gièng nhau
66	Thuéc tİnh nµo kh«ng cã t­ chÊt?	Sinh lùc	May m¾n	Tinh lùc
67	§é th©n mËt lµ chØ gi¸ trŞ cña quan hÖ: 	§ång hµnh vµ ng­êi ch¬i	§ång hµnh víi §ång hµnh	Ng­êi ch¬i víi ng­êi ch¬i
68	TuyÖt chiªu cña §ång hµnh lµ: 	Kü n¨ng ®¸nh qu¸i 	T¨ng kü n¨ng hç trî bŞ ®éng cña §ång hµnh 	T¨ng kü n¨ng hç trî chñ ®éng cña Chñ nh©n 
69	TuyÖt kü cña §ång hµnh th¨ng cÊp nh­ thÕ nµo?	Häc MËt tŞch	T¨ng ®iÓm kü n¨ng	Th«ng qua ®é thuÇn thôc
70	Theo sù tr­ëng thµnh cña §ång hµnh cã sù thay ®æi g× kh«ng?	Kh«ng biÕt	Kh«ng gi¶m	Gi¶m
71	NÕu Chñ nh©n ch¹y qu¸ nhanh, §ång hµnh lµm thÕ nµo?	BŞ l¹c ®­êng	Theo sau chñ nh©n	§­îc ng­êi h¶o t©m ®­a vÒ 
72	Kü n¨ng cÊp thÊp cña §ång hµnh cã hç trî cho kü n¨ng cao cÊp kh«ng?	Gi¶m	Kh«ng cã 	Kh«ng biÕt
73	§ång hµnh cã thÓ häc bao nhiªu MËt tŞch kh¸ng tİnh	10	15	20
74	§ång hµnh ®¸nh qu¸i v­ît cÊp, ®iÓm kinh nghiÖm cã suy gi¶m kh«ng?	Kh«ng biÕt	Kh«ng gi¶m	Gi¶m
75	Tr­íc cÊp 35, §ång hµnh cã bao nhiªu khu vùc ®¸nh qu¸i th¨ng cÊp mau nhÊt?	15	25	35
76	§èi víi kü n¨ng cÊp 4, dïng 1 cuèn MËt tŞch cÊp 8 kÕt qu¶ thÕ nµo? 	th¨ng lªn cÊp 5	th¨ng lªn cÊp 8	Kh«ng thÓ sö dông
77	Vâ c«ng §ång hµnh th¨ng cÊp nh­ thÕ nµo?	Dïng ®iÓm kinh nghiÖm th¨ng cÊp	Dùa vµo ®é thuÇn thôc kü n¨ng	Sö dông MËt tŞch
78	Ngò hµnh kü n¨ng kh¸ng tİnh cña §ång hµnh lµm thÕ nµo th¨ng cÊp?	Dïng ®iÓm kinh nghiÖm th¨ng cÊp	Dùa vµo ®é thuÇn thôc kü n¨ng	Sö dông MËt tŞch
79	Vâ c«ng cña §ång hµnh cã bao nhiªu kü n¨ng? 	Kü n¨ng bŞ ®éng 	Ngò hµnh Kü n¨ng kh¸ng tİnh	Kü n¨ng chñ ®éng
80	T¸c dông cña nót xãa kü kü n¨ng lµ 	Xãa vâ c«ng hç trî 	Dïng ®Ó gi¶i t¸n §ång hµnh	Dïng ®Ó Gäi §ång hµnh 
81	HÖ thèng hái b¹n "B¹n muèn xãa kü n¨ng nµy?"  b¹n chän "X¸c nhËn" nghÜa lµ 	B¹n muèn Gäi §ång hµnh	B¹n muèn xãa vÜnh viÔn kü n¨ng nµy 	B¹n ®· sö dông kü n¨ng nµy 
82	Sau khi xãa 1 kü n¨ng cã thÓ häc l¹i kü n¨ng ®ã kh«ng?	Cã thÓ 	Kh«ng thÓ 	Kh«ng nhÊt ®Şnh
83	B¹n cã mét kü n¨ng hç trî cÊp 6,  nÕu sö dông 1 quyÓn MËt tŞch kü n¨ng cÊp 5, lóc nµy: 	Kü n¨ng cña b¹n gi¶m xuèng  cÊp 5 	Kü n¨ng cña b¹n t¨ng lªn cÊp 7	HÖ thèng hiÓn thŞ b¹n kh«ng thÓ sö dông MËt tŞch 
84	B¶ng kü n¨ng nÕu ®Ó trèng sÏ nh­ thÕ nµo?	Kh«ng thÓ ®Ó trèng	B¶ng kü n¨ng kh«ng thÓ ®Ó trèng	Kh«ng thÓ ®Ó trèng
85	Lµm thÕ nµo ®¹t ®­îc Ngò hµnh kü n¨ng kh¸ng tİnh	§Õn npc ®Ó häc	Sö dông MËt tŞch	Hoµn thµnh nhiÖm vô sÏ häc ®­îc
86	Sè l­îng kü n¨ng hç trî cña §ång hµnh häc ®­îc cã quan hÖ víi: 	Thuéc tİnh cña §ång hµnh	§¼ng cÊp cña §ång hµnh	§¼ng cÊp cña ng­êi ch¬i
87	§ång hµnh cã mÊy lo¹i kü n¨ng?	1	4	6
88	§iÒu kiÖn ®Ó häc ®­îc tuyÖt kü?	Th«ng qua nhiÖm vô Hoµng Kim	kü n¨ng "§ång hµnh" cao nhÊt lµ bao nhiªu?	§é th©n mËt ®¹t ®Õn 100
89	Kü n¨ng hç trî cña §ång hµnh t¨ng nh­ thÕ nµo?	Dïng ®iÓm kinh nghiÖm th¨ng cÊp	Dùa vµo ®é thuÇn thôc kü n¨ng	Sö dông MËt tŞch
90	Trong b¶ng kü n¨ng §ång hµnh cã 4 kü n¨ng "A" vµ 1 kü n¨ng "B". VËy trong lóc chiÕn ®Êu tû lÖ sö dông kü n¨ng "B" cña §ång hµnh lµ bao nhiªu?	20%	40%	60%
91	Sau khi ng­êi ch¬i më d¹ng thøc cõu s¸t. §ång hµnh cña ng­êi ch¬i giÕt chÕt §ång hµnh cña ®èi ph­¬ng th× ®iÓm PK sÏ t¨ng bao nhiªu? 	1 ®iÓm	2 ®iÓm	Kh«ng nhiÒu
92	1 ng­êi c¬i cã thÓ nhËn ®­îc bao nhiªu §ång hµnh?	2	4	5
93	Sau khi ng­êi ch¬i më d¹ng thøc chiÕn ®Êu. §ång hµnh cña ng­êi ch¬i giÕt chÕt §ång hµnh cña ®èi ph­¬ng th× ®iÓm PK sÏ t¨ng bao nhiªu? 	1 ®iÓm	Kh«ng nhiÒu	2 ®iÓm
94	Thao t¸c gäi §ång hµnh cã thÓ thùc hiÖn liªn tiÕp kh«ng?	Cã thÓ 	Kh«ng thÓ 	Kh«ng nhÊt ®Şnh
95	Thêi gian gi÷a 2 lÇn gäi §ång hµnh lµ:	nöa phót	1 phót	2 phót
96	Kü n¨ng hç trî cña §ång hµnh ®­îc t¨ng nh­ thÕ nµo?	§Õn chç NPc ®Ó häc	SÏ t¨ng lªn mçi khi §ång hµnh t¨ng cÊp	Th«ng qua häc MËt tŞch kü n¨ng
97	Nót dïng ®Ó gäi §ång hµnh n»m thø mÊy trªn b¶ng c«ng cô §ång hµnh?	Thø 1	Thø 4	Thø 8
98	Muèn thay ®æi ®ång hµnh, cã mÊy ph­¬ng thøc?	1	2	3
99	§ång hµnh cã thÓ dïng Kim S¸ng d­îc kh«ng?	Cã thÓ 	Kh«ng	Khi m¸u cña §ång hµnh gi¶m xuèng chØ cßn 30%, sÏ 
100	Nót "Hñy kü n¨ng" dïng ®Ó lµm g×?	Hñy kü n¨ng 	Hñy tuyÖt kû 	Hñy kü n¨ng hç trî 
101	Ng­êi Trïng Kh¸nh nãi "Thiªu cao" cã nghÜa lµ g×?	§èt h­¬ng lÔ PhËt	N­íng thøc ¨n	Ch¹y lo¹n
102	Ng­êi Trïng Kh¸nh nãi "k×nh phong hµ triÖt" nghÜa lµ g×?	Nu«i c¸ 	Thñy qu¸i	N­íc lò vÒ 
103	TiÕng Qu¶ng §«ng cã 3 tõ d­íi ®©y kh«ng ®ång nghÜa lµ 	m©u ni 	§¹i H­¬ng Lı 	Méc Chñy
104	TiÕng Qu¶ng §«ng cã 3 tõ d­íi ®©y kh«ng ®ång nghÜa lµ 	§inh t¸ 	Qua t¸ 	TrËt t¸ 
105	MËt ®å "§ång hµnh luyÖn cÊp" 1	§Õn Ph­îng T­êng giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 2	§Õn Ph­îng T­êng giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
106	MËt ®å "§ång hµnh luyÖn cÊp" 3	§Õn Ph­îng T­êng giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 4	§Õn Hoa s¬n  giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
107	MËt ®å "§ång hµnh luyÖn cÊp" 5	§Õn Hoa s¬n  giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 6	§Õn Hoa s¬n  giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
108	MËt ®å "§ång hµnh luyÖn cÊp" 7	§Õn KiÕm C¸c T©y B¾c giÕt 50 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 8	§Õn KiÕm C¸c T©y B¾c giÕt 100 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
109	MËt ®å "§ång hµnh luyÖn cÊp" 9	§Õn KiÕm C¸c T©y B¾c giÕt 150 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 10	§Õn Kim Quang ®éng giÕt 50 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
110	MËt ®å "§ång hµnh luyÖn cÊp" 11	§Õn Kim Quang ®éng giÕt 100 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 12	§Õn Kim Quang ®éng giÕt 150 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
111	MËt ®å "§ång hµnh luyÖn cÊp" 13	§Õn Kinh Hoµng ®éng giÕt 50 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 14	§Õn Kinh Hoµng ®éng giÕt 100 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
112	MËt ®å "§ång hµnh luyÖn cÊp" 15	§Õn Kinh Hoµng ®éng giÕt 150 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 16	§Õn Táa V©n ®éng giÕt 50 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
113	MËt ®å "§ång hµnh luyÖn cÊp" 17	§Õn Táa V©n ®éng giÕt 100 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 18	§Õn Táa V©n ®éng giÕt 150 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
114	MËt ®å "§ång hµnh luyÖn cÊp" 19	§Õn TÇn L¨ng giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 20	§Õn TÇn L¨ng giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
115	MËt ®å "§ång hµnh luyÖn cÊp" 21	§Õn TÇn L¨ng giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 22	§Õn tÇng 1 TÇn L¨ng giÕt 50 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
116	MËt ®å "§ång hµnh luyÖn cÊp" 23	§Õn tÇng 1 TÇn L¨ng giÕt 100 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 24	§Õn tÇng 1 TÇn L¨ng giÕt 150 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
117	MËt ®å "§ång hµnh luyÖn cÊp" 25	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 26	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn
118	MËt ®å "§ång hµnh luyÖn cÊp" 27	§Õn tÇng 2 TÇn L¨ng giÕt 50 coi D¬i, §ång hµnh ®¼ng cÊp tõ 65 trë lªn	MËt ®å "§ång hµnh luyÖn cÊp" 28	§Õn tÇng 3 TÇn L¨ng giÕt 50 Méc nh©n, §ång hµnh ®¼ng cÊp tõ 75 trë lªn
